$ jq -r '.[] | "\(.identifier.id) \(.version)"' extensions.json | sort >> extensions.txt

adpyke.vscode-sql-formatter 1.4.4
amazonwebservices.amazon-q-vscode 1.52.0
amazonwebservices.aws-toolkit-vscode 3.51.0
amazonwebservices.codewhisperer-for-command-line-companion 1.7.2
bito.bito 1.5.7
esbenp.prettier-vscode 11.0.0
geddski.macros 1.2.1
github.copilot 1.291.0
github.copilot-chat 0.25.1
github.vscode-github-actions 0.27.1
golang.go 0.46.1
hashicorp.terraform 2.34.3
hediet.vscode-drawio 1.9.0
humao.rest-client 0.25.1
inferrinizzard.prettier-sql-vscode 1.6.0
mathiasfrohlich.kotlin 1.7.1
mhutchie.git-graph 1.30.0
ms-azuretools.vscode-docker 1.29.4
ms-kubernetes-tools.vscode-kubernetes-tools 1.3.20
ms-python.autopep8 2025.2.0
ms-python.debugpy 2025.4.1
ms-python.python 2025.2.0
ms-python.vscode-pylance 2025.3.2
ms-toolsai.jupyter 2025.2.0
ms-toolsai.jupyter-keymap 1.1.2
ms-toolsai.jupyter-renderers 1.1.0
ms-toolsai.vscode-jupyter-cell-tags 0.1.9
ms-toolsai.vscode-jupyter-slideshow 0.1.6
ms-vscode-remote.remote-containers 0.401.0
ms-vscode.makefile-tools 0.12.17
qingpeng.common-lisp 1.2.11
redhat.vscode-yaml 1.17.0
saoudrizwan.claude-dev 3.8.3
skellock.just 2.0.0
timonwong.shellcheck 0.37.7
tomoki1207.pdf 1.2.2
